,MSZoning,LotArea,Street,Has_Alley,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,HeatingQC,GrLivArea,BedroomAbvGr,GarageCars,SaleCondition,has_fence,pool,SalePrice
0,RL,8450,1,0,1Fam,2Story,good,average,2003,Ex,1710,3,2,Normal,0,0,208500
1,RL,9600,1,0,1Fam,1Story,average,good,1976,Ex,1262,3,2,Normal,0,0,181500
2,RL,11250,1,0,1Fam,2Story,good,average,2001,Ex,1786,3,2,Normal,0,0,223500
3,RL,9550,1,0,1Fam,2Story,good,average,1915,Gd,1717,3,3,Abnorml,0,0,140000
4,RL,14260,1,0,1Fam,2Story,good,average,2000,Ex,2198,4,3,Normal,0,0,250000
5,RL,14115,1,0,1Fam,1.5Fin,average,average,1993,Ex,1362,1,2,Normal,1,0,143000
6,RL,10084,1,0,1Fam,1Story,good,average,2004,Ex,1694,3,2,Normal,0,0,307000
7,RL,10382,1,0,1Fam,2Story,good,average,1973,Ex,2090,3,2,Normal,0,0,200000
8,RM,6120,1,0,1Fam,1.5Fin,good,average,1931,Gd,1774,2,2,Abnorml,0,0,129900
9,RL,7420,1,0,2fmCon,1.5Unf,average,average,1939,Ex,1077,2,1,Normal,0,0,118000
10,RL,11200,1,0,1Fam,1Story,average,average,1965,Ex,1040,3,1,Normal,0,0,129500
11,RL,11924,1,0,1Fam,2Story,good,average,2005,Ex,2324,4,3,Partial,0,0,345000
12,RL,12968,1,0,1Fam,1Story,average,average,1962,TA,912,2,1,Normal,0,0,144000
13,RL,10652,1,0,1Fam,1Story,good,average,2006,Ex,1494,3,3,Partial,0,0,279500
14,RL,10920,1,0,1Fam,1Story,average,average,1960,TA,1253,2,1,Normal,1,0,157000
15,RM,6120,1,0,1Fam,1.5Unf,good,good,1929,Ex,854,2,2,Normal,1,0,132000
16,RL,11241,1,0,1Fam,1Story,average,good,1970,Ex,1004,2,2,Normal,0,0,149000
17,RL,10791,1,0,Duplex,1Story,average,average,1967,TA,1296,2,2,Normal,0,0,90000
18,RL,13695,1,0,1Fam,1Story,average,average,2004,Ex,1114,3,2,Normal,0,0,159000
19,RL,7560,1,0,1Fam,1Story,average,average,1958,TA,1339,3,1,Abnorml,1,0,139000
20,RL,14215,1,0,1Fam,2Story,good,average,2005,Ex,2376,4,3,Partial,0,0,325300
21,RM,7449,1,1,1Fam,1.5Unf,good,good,1930,Ex,1108,3,1,Normal,1,0,139400
22,RL,9742,1,0,1Fam,1Story,good,average,2002,Ex,1795,3,2,Normal,0,0,230000
23,RM,4224,1,0,TwnhsE,1Story,average,good,1976,TA,1060,3,2,Normal,0,0,129900
24,RL,8246,1,0,1Fam,1Story,average,good,1968,Ex,1060,3,1,Normal,1,0,154000
25,RL,14230,1,0,1Fam,1Story,good,average,2007,Ex,1600,3,3,Normal,0,0,256300
26,RL,7200,1,0,1Fam,1Story,average,good,1951,TA,900,3,2,Normal,0,0,134800
27,RL,11478,1,0,1Fam,1Story,good,average,2007,Ex,1704,3,3,Normal,0,0,306000
28,RL,16321,1,0,1Fam,1Story,average,average,1957,TA,1600,2,1,Normal,0,0,207500
29,RM,6324,1,0,1Fam,1Story,average,average,1927,Fa,520,1,1,Normal,0,0,68500
30,C (all),8500,1,1,1Fam,2Story,average,average,1920,TA,1317,3,1,Normal,1,0,40000
31,RL,8544,1,0,1Fam,1Story,average,average,1966,Gd,1228,3,1,Normal,1,0,149350
32,RL,11049,1,0,1Fam,1Story,good,average,2007,Ex,1234,3,2,Normal,0,0,179900
33,RL,10552,1,0,1Fam,1Story,average,average,1959,Gd,1700,4,2,Normal,0,0,165500
34,RL,7313,1,0,TwnhsE,1Story,good,average,2005,Ex,1561,2,2,Normal,0,0,277500
35,RL,13418,1,0,1Fam,2Story,good,average,2004,Ex,2452,4,3,Normal,0,0,309000
36,RL,10859,1,0,1Fam,1Story,average,average,1994,Ex,1097,3,2,Normal,0,0,145000
37,RL,8532,1,0,1Fam,1Story,average,average,1954,Gd,1297,3,2,Normal,0,0,153000
38,RL,7922,1,0,1Fam,1Story,average,good,1953,TA,1057,3,1,Abnorml,0,0,109000
39,RL,6040,1,0,Duplex,1Story,average,average,1955,TA,1152,2,0,AdjLand,0,0,82000
40,RL,8658,1,0,1Fam,1Story,average,average,1965,Ex,1324,3,2,Abnorml,1,0,160000
41,RL,16905,1,0,1Fam,1Story,average,average,1959,Gd,1328,2,1,Normal,0,0,170000
42,RL,9180,1,0,1Fam,SFoyer,average,good,1983,Gd,884,2,2,Normal,1,0,144000
43,RL,9200,1,0,1Fam,1Story,average,average,1975,TA,938,3,1,Normal,1,0,130250
44,RL,7945,1,0,1Fam,1Story,average,average,1959,Ex,1150,3,1,Normal,0,0,141000
45,RL,7658,1,0,TwnhsE,1Story,good,average,2005,Ex,1752,2,2,Normal,0,0,319900
46,RL,12822,1,0,1Fam,1.5Fin,good,average,2003,Ex,2149,1,2,Abnorml,0,0,239686
47,FV,11096,1,0,1Fam,1Story,good,average,2006,Ex,1656,3,3,Normal,0,0,249700
48,RM,4456,1,0,2fmCon,2Story,average,average,1920,Gd,1452,2,0,Partial,0,0,113000
49,RL,7742,1,0,1Fam,1Story,average,good,1966,Ex,955,3,1,Normal,1,0,127000
50,RL,13869,1,0,1Fam,2Story,average,average,1997,Gd,1470,3,2,Normal,0,0,177000
51,RM,6240,1,0,1Fam,1.5Fin,average,average,1934,TA,1176,3,2,Normal,1,0,114500
52,RM,8472,0,0,Duplex,1Story,average,average,1963,TA,816,2,2,Normal,0,0,110000
53,RL,50271,1,0,1Fam,1Story,good,average,1981,Gd,1842,0,3,Normal,0,0,385000
54,RL,7134,1,0,1Fam,SLvl,average,average,1955,TA,1360,3,2,Normal,1,0,130000
55,RL,10175,1,0,1Fam,1Story,average,average,1964,Gd,1425,3,2,Normal,0,0,180500
56,FV,2645,1,1,Twnhs,2Story,good,average,1999,Ex,1739,3,2,Abnorml,0,0,172500
57,RL,11645,1,0,1Fam,2Story,good,average,2004,Ex,1720,3,2,Normal,0,0,196500
58,RL,13682,1,0,1Fam,2Story,good,average,2006,Ex,2945,3,3,Partial,0,0,438780
59,RL,7200,1,0,1Fam,1Story,average,good,1972,Ex,780,2,1,Normal,1,0,124900
60,RL,13072,1,0,1Fam,1Story,average,average,2004,Ex,1158,3,2,Partial,0,0,158000
61,RM,7200,1,0,1Fam,2.5Unf,average,good,1920,TA,1111,3,1,Normal,0,0,101000
62,RL,6442,1,0,TwnhsE,1Story,good,average,2006,Ex,1370,2,2,Normal,0,0,202500
63,RM,10300,1,0,1Fam,2Story,good,average,1921,Gd,1710,3,2,Normal,1,0,140000
64,RL,9375,1,0,1Fam,2Story,good,average,1997,Ex,2034,3,2,Normal,1,0,219500
65,RL,9591,1,0,1Fam,2Story,good,average,2004,Ex,2473,4,3,Normal,0,0,317000
66,RL,19900,1,0,1Fam,1Story,good,average,1970,TA,2207,3,2,Normal,0,0,180000
67,RL,10665,1,0,1Fam,1Story,good,average,2003,Ex,1479,3,2,Normal,0,0,226000
68,RM,4608,1,0,1Fam,1Story,average,average,1945,TA,747,2,1,Normal,0,0,80000
69,RL,15593,1,0,1Fam,1.5Fin,good,average,1953,TA,2287,3,2,Normal,0,0,225000
70,RL,13651,1,0,1Fam,1Story,good,average,1973,Ex,2223,3,2,Normal,0,0,244000
71,RL,7599,1,0,1Fam,1Story,average,average,1982,TA,845,2,2,Normal,0,0,129500
72,RL,10141,1,0,1Fam,2Story,good,average,1998,Gd,1718,3,2,Normal,0,0,185000
73,RL,10200,1,0,1Fam,1Story,average,good,1954,Gd,1086,3,2,Normal,1,0,144900
74,RM,5790,1,0,1Fam,2Story,bad,average,1915,Gd,1605,3,1,Normal,0,0,107400
75,RM,1596,1,0,Twnhs,SLvl,average,average,1973,TA,988,2,1,Normal,1,0,91000
76,RL,8475,1,0,1Fam,1Story,average,good,1956,Ex,952,2,1,Normal,0,0,135750
77,RM,8635,1,0,1Fam,1.5Fin,average,average,1948,TA,1285,2,1,Normal,1,0,127000
78,RL,10778,1,0,Duplex,1Story,average,average,1968,TA,1768,4,0,Normal,0,0,136500
79,RM,10440,1,1,1Fam,2Story,average,average,1910,Gd,1230,2,2,Normal,1,0,110000
80,RL,13000,1,0,1Fam,2Story,average,average,1968,TA,2142,4,1,Normal,0,0,193500
81,RM,4500,1,0,TwnhsE,1Story,average,average,1998,Ex,1337,2,2,Normal,0,0,153500
82,RL,10206,1,0,1Fam,1Story,good,average,2007,Ex,1563,3,3,Normal,0,0,245000
83,RL,8892,1,0,1Fam,1Story,average,average,1960,Gd,1065,3,2,Normal,0,0,126500
84,RL,8530,1,0,1Fam,SLvl,good,average,1995,Gd,1474,3,2,Normal,0,0,168500
85,RL,16059,1,0,1Fam,2Story,good,average,1991,Ex,2417,4,2,Normal,0,0,260000
86,RL,11911,1,0,1Fam,2Story,average,average,2005,Ex,1560,3,2,Normal,0,0,174000
87,FV,3951,1,1,TwnhsE,2Story,average,average,2009,Ex,1224,2,2,Partial,0,0,164500
88,C (all),8470,1,0,1Fam,1.5Fin,bad,bad,1915,TA,1526,2,0,Abnorml,1,0,85000
89,RL,8070,1,0,1Fam,1Story,average,average,1994,Ex,990,3,0,Normal,0,0,123600
90,RL,7200,1,0,1Fam,1Story,average,average,1950,TA,1040,2,2,Normal,0,0,109900
91,RL,8500,1,0,1Fam,1Story,average,bad,1961,TA,1235,2,2,Abnorml,1,0,98600
92,RL,13360,1,1,1Fam,1Story,average,good,1921,Ex,964,2,2,Normal,0,0,163500
93,C (all),7200,1,0,2fmCon,2.5Unf,average,average,1910,Ex,2291,4,2,Normal,0,0,133900
94,RL,9337,1,0,1Fam,2Story,average,average,1997,Ex,1786,3,2,Normal,0,0,204750
95,RL,9765,1,0,1Fam,2Story,average,good,1993,Gd,1470,3,2,Normal,0,0,185000
96,RL,10264,1,0,1Fam,1Story,good,average,1999,Ex,1588,3,2,Normal,0,0,214000
97,RL,10921,1,0,1Fam,1Story,average,average,1965,TA,960,3,1,Normal,0,0,94750
98,RL,10625,1,0,1Fam,1Story,average,average,1920,Fa,835,2,1,Abnorml,0,0,83000
99,RL,9320,1,0,1Fam,1Story,average,average,1959,Fa,1225,3,0,Normal,0,0,128950
100,RL,10603,1,0,1Fam,1Story,average,good,1977,Gd,1610,3,2,Normal,0,0,205000
101,RL,9206,1,0,1Fam,2Story,average,average,1985,TA,1732,3,2,Normal,0,0,178000
102,RL,7018,1,0,Duplex,1Story,average,average,1979,TA,1535,4,2,Alloca,0,0,118964
103,RL,10402,1,0,1Fam,1Story,good,average,2009,Ex,1226,3,3,Normal,0,0,198900
104,RM,7758,1,0,1Fam,1.5Fin,good,average,1931,Ex,1818,4,1,Normal,0,0,169500
105,FV,9375,1,0,1Fam,2Story,good,average,2003,Ex,1992,3,2,Normal,0,0,250000
106,RM,10800,1,1,1Fam,1Story,average,good,1885,Gd,1047,2,1,Normal,0,0,100000
107,RM,6000,1,0,1Fam,1Story,average,average,1948,Ex,789,2,1,Partial,0,0,115000
108,RM,8500,1,0,1Fam,1.5Fin,average,good,1919,TA,1517,3,0,Normal,0,0,115000
109,RL,11751,1,0,1Fam,1Story,average,average,1977,Ex,1844,3,2,Normal,1,0,190000
110,RL,9525,1,0,1Fam,1.5Fin,average,average,1954,Gd,1855,4,1,Normal,0,0,136900
111,RL,7750,1,0,1Fam,SLvl,good,average,2000,Ex,1430,3,2,Normal,0,0,180000
112,RL,9965,1,0,1Fam,2Story,good,average,2007,Ex,2696,4,3,Partial,0,0,383970
113,RL,21000,1,0,1Fam,1Story,average,average,1953,TA,2259,3,2,Abnorml,1,0,217000
114,RL,7259,1,0,1Fam,2Story,average,good,1945,Ex,2320,3,1,Normal,1,0,259500
115,FV,3230,1,1,TwnhsE,2Story,average,average,1999,Gd,1458,2,2,Normal,0,0,176000
116,RL,11616,1,0,1Fam,1Story,average,average,1962,TA,1092,3,1,Normal,0,0,139000
117,RL,8536,1,0,1Fam,1Story,average,average,2006,Gd,1125,2,2,Partial,0,0,155000
118,RL,12376,1,0,1Fam,2Story,good,average,1990,Gd,3222,5,3,Normal,0,0,320000
119,RL,8461,1,0,1Fam,2Story,average,average,2005,Ex,1456,3,2,Partial,0,0,163990
120,RL,21453,1,0,1Fam,SLvl,average,average,1969,Ex,988,1,2,Normal,0,0,180000
121,RM,6060,1,0,1Fam,1.5Fin,average,average,1939,Gd,1123,3,1,Normal,1,0,100000
122,RL,9464,1,0,1Fam,1Story,average,good,1958,Gd,1080,3,1,Normal,0,0,136000
123,RL,7892,1,0,TwnhsE,1Story,average,average,1993,Ex,1199,2,2,Normal,0,0,153900
124,RL,17043,1,0,1Fam,1Story,average,average,1979,TA,1586,3,2,Normal,0,0,181000
125,RM,6780,1,0,2fmCon,1.5Fin,average,good,1935,Gd,754,2,0,Normal,0,0,84500
126,RL,4928,1,0,TwnhsE,1Story,average,average,1976,TA,958,2,2,Normal,0,0,128000
127,RM,4388,1,0,1Fam,1.5Unf,average,good,1930,Ex,840,3,0,Normal,0,0,87000
128,RL,7590,1,0,1Fam,2Story,average,average,1966,TA,1348,3,2,Normal,0,0,155000
129,RL,8973,1,0,1Fam,1Story,average,good,1958,TA,1053,3,2,Abnorml,1,0,150000
130,RL,14200,1,0,1Fam,2Story,good,average,1966,Ex,2157,4,2,Normal,1,0,226000
131,RL,12224,1,0,1Fam,2Story,average,average,2000,Ex,2054,3,2,Normal,0,0,244000
132,RL,7388,1,0,1Fam,1Story,average,average,1959,Gd,1327,3,2,Normal,0,0,150750
133,RL,6853,1,0,1Fam,1Story,good,average,2001,Ex,1296,2,2,Normal,0,0,220000
134,RL,10335,1,0,1Fam,1Story,average,average,1968,Gd,1721,3,2,Normal,1,0,180000
135,RL,10400,1,0,1Fam,1Story,good,average,1970,Gd,1682,3,2,Normal,1,0,174000
136,RL,10355,1,0,1Fam,1Story,average,average,1967,TA,1214,3,1,Normal,0,0,143000
137,RL,11070,1,0,Duplex,1Story,good,average,1988,Gd,1959,5,3,Family,0,0,171000
138,RL,9066,1,0,1Fam,2Story,good,average,1999,Ex,1852,3,3,Normal,1,0,230000
139,RL,15426,1,0,1Fam,2Story,average,average,1997,Ex,1764,3,2,Normal,1,0,231500
140,RL,10500,1,0,1Fam,1Story,average,average,1971,TA,864,3,0,Normal,0,0,115000
141,RL,11645,1,0,1Fam,1Story,good,average,2005,Ex,1734,3,2,Normal,0,0,260000
142,RL,8520,1,0,1Fam,1.5Fin,average,average,1952,Fa,1385,4,2,Normal,1,0,166000
143,RL,10335,1,0,1Fam,1Story,good,average,1999,Ex,1501,3,2,Normal,0,0,204000
144,RM,9100,1,0,Duplex,1Story,average,average,1963,TA,1728,6,2,Abnorml,0,0,125000
145,RM,2522,1,0,Twnhs,2Story,average,average,2004,Ex,1709,3,2,Normal,0,0,130000
146,RM,6120,1,0,1Fam,1Story,average,good,1931,TA,875,2,1,Normal,0,0,105000
147,RL,9505,1,0,1Fam,2Story,good,average,2001,Ex,2035,3,2,Normal,0,0,222500
148,RL,7500,1,0,1Fam,1Story,good,average,2004,Ex,1080,3,0,Normal,0,0,141000
149,RM,6240,1,0,1Fam,1.5Fin,average,average,1936,Gd,1344,3,1,Normal,0,0,115000
150,RL,10356,1,0,1Fam,1Story,average,average,1975,TA,969,3,2,Normal,1,0,122000
151,RL,13891,1,0,1Fam,1Story,good,average,2007,Ex,1710,2,3,Partial,0,0,372402
152,RL,14803,1,0,1Fam,2Story,average,average,1971,Gd,1993,4,2,Normal,1,0,190000
153,RL,13500,1,0,1Fam,1Story,average,good,1960,Gd,1252,1,2,Normal,0,0,235000
154,RM,11340,1,0,1Fam,1Story,average,average,1923,TA,1200,4,1,Family,0,0,125000
155,RL,9600,1,0,1Fam,1.5Fin,average,average,1924,Fa,1096,2,0,Normal,0,0,79000
156,RL,7200,1,0,1Fam,1Story,average,good,1950,TA,1040,2,2,Normal,0,0,109500
157,RL,12003,1,0,1Fam,2Story,good,average,2009,Ex,1968,4,3,Partial,0,0,269500
158,FV,12552,1,0,1Fam,2Story,good,average,2004,Ex,1947,3,2,Normal,1,0,254900
